OfficeName,ObservedYears,CycleEstimate,PredictionReason
School Board Member (ISD #492) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #495) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #497) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #499) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #500) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #505) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #507) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #51) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #511) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #514) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #518) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #531) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #533) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #534) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #542) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #544) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #545) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #547) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #548) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #549) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #550) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #553) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #561) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #564) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #577) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #578) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #581) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #592) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #593) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #595) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #599) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #600) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #601) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #630) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #635) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #640) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #656) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #659) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #671) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #676) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #682) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #690) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #695) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #696) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #698) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #700) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #701) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #704) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #707) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #712) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #716) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #717) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #719) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #720) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #721) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #726) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #727) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #739) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #740) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #741) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #743) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #745) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #748) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #75) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #750) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #756) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #761) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #763) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #768) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #77) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #771) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #775) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #777) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #786) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #787) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #81) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #811) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #813) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #818) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #820) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #821) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #829) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #836) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #837) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #84) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #840) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #85) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #857) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #858) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #876) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #877) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #879) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #88) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #881) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #882) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #883) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #885) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #891) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #91) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #912) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #914) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member (ISD #93) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #94) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #95) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #97) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (ISD #99) (Elect 3),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member (SSD #6) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #2198) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #238) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #239) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #2856) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #2908) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #314) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #38) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #622) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #728) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #742) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #831) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #834) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #846) (Elect 3),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #861) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (ISD #911) (Elect 4),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member at Large (SSD #1) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #166),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #2853),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #2884),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member District 1 (ISD #2909) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #381),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #390),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #728),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (ISD #861),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 1 (SSD #1),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #2142),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #2180),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #2853),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #2884),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member District 2 (ISD #2909) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #381),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #728),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 2 (ISD #861),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 3 (ISD #166),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 3 (ISD #2142),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 3 (ISD #2884),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member District 3 (SSD #1),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 4 (ISD #2180),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 4 (ISD #390),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 5 (ISD #166),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 5 (ISD #2142),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 5 (ISD #2180),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 5 (ISD #2853),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 5 (ISD #381),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 5 (SSD #1),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 6 (ISD #390),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member District 7 (ISD #381),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Fairfax District (ISD #2365),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member Gibbon District (ISD #2365),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member Position 2 (ISD #206),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 2 (ISD #535),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 3 (ISD #206),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 4 (ISD #206),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 4 (ISD #535),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 5 (ISD #206),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 5 (ISD #535),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Position 6 (ISD #535),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
School Board Member Russell District (ISD #2902),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member Ruthton District (ISD #2902),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member Tyler District (ISD #2902),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
School Board Member Winthrop District (ISD #2365),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
SCHOOL DISTRICT QUESTION 1 (ISD #115),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #150),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #166),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
SCHOOL DISTRICT QUESTION 1 (ISD #2071),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
SCHOOL DISTRICT QUESTION 1 (ISD #2135),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #2137),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
SCHOOL DISTRICT QUESTION 1 (ISD #2144),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #2159),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #2170),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #2176),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #242),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #2536),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #256),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #271),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #272),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #279),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #333),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #402),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #403),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #413),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #423),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #463),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #465),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #547),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #599),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #600),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
SCHOOL DISTRICT QUESTION 1 (ISD #622),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #624),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #640),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #656),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #659),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
SCHOOL DISTRICT QUESTION 1 (ISD #690),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #695),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #721),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #741),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #768),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #771),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #879),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #88),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #885),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #891),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (ISD #97),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 1 (SSD #6),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #150),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #2071),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #2144),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #242),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #2536),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #272),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #279),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #333),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #423),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #545),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #600),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #640),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #656),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #659),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
SCHOOL DISTRICT QUESTION 2 (ISD #695),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #721),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #741),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #879),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (ISD #885),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 2 (SSD #6),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 3 (ISD #333),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
SCHOOL DISTRICT QUESTION 3 (ISD #656),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Secretary of State,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
